"id","player","team","position","age","exp","pos","avg_type","points","pos_rank","drop_off","sd_pts","floor","ceiling","tier","points_vor","rank","floor_vor","floor_rank","ceiling_vor","ceiling_rank"
"12639","Tyler Ervin","GBP","RB",27,4,"RB","weighted",10.2145836575875,127,0.738813229571983,8.52636493341667,4.461,17.4081002638522,14,-118.510855884276,472,-105.856,438,-137.689260635318,476
"12640","Josh Ferguson","FA","RB",27,4,"RB","weighted",1.7,147,0.372564714946071,NA,1.7,1.7,15,-127.025439541864,511,-108.617,467,-153.39736089917,534
"12645","Laquon Treadwell","FA","WR",25,4,"WR","weighted",12.34,168,1.265,NA,12.34,12.34,28,-145.769468322756,562,-125.51,523,-167.190310633021,569
"12646","Corey Coleman","FA","WR",26,4,"WR","weighted",26.58,137,0.0599747081712074,NA,26.58,26.58,19,-131.529468322756,531,-111.27,490,-152.950310633021,531
"12647","Will Fuller","HOU","WR",26,4,"WR","weighted",160.358008436305,35,3.37281017032342,27.8642068106963,127.2,192.635925266904,7,2.24854011354896,101,-10.65,133,13.1056146338833,81
"12650","Tyler Boyd","CIN","WR",26,4,"WR","weighted",170.462881270258,30,0.943688664658595,15.9283400835341,152.627,190.287863636364,6,12.3534129475019,81,14.777,74,10.757553003343,84
"12652","Michael Thomas","NOS","WR",27,4,"WR","weighted",272.515214844303,1,28.544618713766,16.0436858854941,252.189,294.449074733096,1,114.405746521547,9,114.339,9,114.918764100075,15
"12656","Rashard Higgins","CLE","WR",26,4,"WR","weighted",56.4445160002259,112,0.218162629580888,13.4749254382918,44.747,69.5111337209302,16,-101.66495232253,402,-93.103,351,-110.01917691209,398
"12657","Tajae Sharpe","MIN","WR",26,4,"WR","weighted",52.5291708394698,118,6.36931774614774,43.0102402436022,22.962,100.789606060606,16,-105.580297483286,419,-114.888,501,-78.7407045724146,324
"12658","Sterling Shepard","NYG","WR",27,4,"WR","weighted",152.080855670594,39,5.2121684148413,9.71000526958296,142.3,165.688451957295,8,-6.02861265216166,130,4.45000000000002,94,-13.8418586757252,154
"12660","Pharoh Cooper","CAR","WR",25,4,"WR","weighted",19.7153665111845,151,0.304118437224584,12.1955959536093,7.317,29.6643345646438,23,-138.394101811571,545,-130.533,551,-149.865976068377,515
"12667","Duke Williams","FA","WR",27,2,"WR","weighted",30.15,130,0.767107976653701,NA,30.15,30.15,19,-127.959468322756,515,-107.7,461,-149.380310633021,513
"12673","Charone Peake","FA","WR",28,4,"WR","weighted",8.997,172,0.170075500770416,NA,8.997,8.997,32,-149.112468322756,566,-128.853,536,-170.533310633021,575
"12675","Mike Thomas","CIN","WR",26,4,"WR","weighted",1.96432665639445,209,0.0503266563944529,2.78529361109381,0.01,3.55204177018634,45,-156.145141666362,603,-137.84,594,-175.978268862834,600
"12676","Hunter Henry","LAC","TE",26,4,"TE","weighted",130.997945531053,9,1.25501057648731,17.3831964545953,112.1,154.224136363636,3,7.29723334787337,91,5.12666666666667,93,10.1904590208131,85
"12677","Austin Hooper","CLE","TE",26,4,"TE","weighted",126.629316199619,12,4.39290602465994,13.8724272483142,110.5,141.183238434164,4,2.92860401643996,98,3.52666666666667,95,-2.85043890865953,115
"12678","Tyler Higbee","LAR","TE",27,4,"TE","weighted",133.116049420071,7,1.56892234289526,25.6690395756538,110.4,170.557330960854,3,9.4153372368913,87,3.42666666666668,96,26.5236536180308,64
"12680","Nick Vannett","DEN","TE",27,4,"TE","weighted",28.067866039953,66,0.418546814390361,10.9674005723523,9.614,37.2672674418605,12,-95.6328461432263,375,-97.3593333333333,375,-106.766409900963,391
"12681","Jerell Adams","FA","TE",28,4,"TE","weighted",13.7,97,0.228946399424149,NA,13.7,13.7,15,-110.000712183179,433,-93.2733333333333,353,-130.333677342823,446
"12773","Chris Moore","BAL","WR",27,4,"WR","weighted",14.7240154083205,160,0.682003081664099,8.29931229078651,8.463,19.0352732415902,24,-143.385452914436,554,-129.387,540,-160.49503739143,559
"12785","Demarcus Robinson","KCC","WR",26,4,"WR","weighted",61.7828419768151,106,0.276945143311565,25.9566492252456,29.499,91.8879181494662,16,-96.3266263459409,378,-108.351,466,-87.6423924835544,342
"12792","Seth DeValve","FA","TE",27,4,"TE","weighted",22.6630136986301,78,0.396876498144607,19.5161471607487,8.8,33.6525454545455,13,-101.037698484549,395,-98.1733333333333,381,-110.381131888278,400
"12800","Trevor Davis","FA","WR",27,4,"WR","weighted",7.833,180,0.0485000000000007,Inf,7.833,7.833,37,-150.276468322756,574,-130.017,547,-171.697310633021,582
"12801","Tyreek Hill","KCC","WR",26,4,"WR","weighted",233.661705034466,4,14.8591901251814,21.1671823526102,205.4,259.618683274021,3,75.5522367117097,25,67.55,26,80.0883726410007,25
"12806","Andy Janovich","CLE","RB",27,4,"RB","weighted",26.195827123696,107,1.67082712369597,19.3040151263927,12.2,36.8374563953488,13,-102.529612418168,408,-98.117,379,-118.259904503821,417
"12814","Jakeem Grant","MIA","WR",28,4,"WR","weighted",66.4077586296495,100,1.2767623333195,30.0052104526839,20.4,85.282001744186,15,-91.7017096931065,358,-117.45,506,-94.2483088888346,362
"12815","Nate Sudfeld","PHI","QB",27,4,"QB","weighted",0.12,79,0.1549,Inf,0.12,0.12,18,-275.735987291722,667,-256.346666666667,641,-307.149104187211,670
"12823","Derek Watt","PIT","RB",28,4,"RB","weighted",7.00293990755008,134,0.887879815100154,7.62897506222166,1.65,11.351723447205,14,-121.722499634314,491,-108.667,468,-143.745637451965,496
"12824","Cody Core","NYG","WR",26,4,"WR","weighted",15.0324964336662,159,0.511044969875741,11.9571756698645,5.89,21.2361596306069,24,-143.07697188909,553,-131.96,558,-158.294151002414,554
"12845","Dwayne Washington","NOS","RB",26,4,"RB","weighted",6.22202157164869,135,0.214972265023113,3.0327809845091,4.061,7.92437905198777,14,-122.503417970215,493,-106.256,444,-147.172981847182,511
"12857","DeAndre Washington","FA","RB",27,4,"RB","weighted",66.3253424657534,70,1.91795978981105,0.106066017177986,66.25,66.3850681818182,11,-62.4000970761102,286,-44.067,226,-88.7122927173517,347
"12859","Stephen Anderson","LAC","TE",27,4,"TE","weighted",8.295,109,0.244024653312788,NA,8.295,8.295,16,-115.405712183179,458,-98.6783333333333,387,-135.738677342823,464
"12860","Ka'imi Fairbairn","HOU","K",26,4,"K","weighted",107.801592729201,9,0.329874850295553,26.671872039675,74.7811172002597,130.463694099379,1,-2.85269066133438,114,-16.9741347991623,157,-0.930778829818848,107
"12868","Ben Braunecker","FA","TE",26,4,"TE","weighted",9.25,107,0.638091137965759,NA,9.25,9.25,16,-114.450712183179,455,-97.7233333333333,377,-134.783677342823,463
"12912","Jalen Richard","LVR","RB",27,4,"RB","weighted",83.9058370392683,55,0.456913848310862,9.5261089584505,73.412,96.9498546511628,10,-44.8196025025954,245,-36.905,212,-58.1475062480071,290
"12913","Alex Erickson","CIN","WR",28,4,"WR","weighted",39.9816579352851,124,2.41286902477922,36.5977256738721,15.293,61.9138695718654,17,-118.127810387471,471,-122.557,513,-117.616441061155,414
