"id","player","team","position","age","exp","pos","avg_type","points","pos_rank","drop_off","sd_pts","floor","ceiling","tier","points_vor","rank","floor_vor","floor_rank","ceiling_vor","ceiling_rank"
"12208","Jeff Heuerman","FA","TE",28,5,"TE","weighted",25.2429223744292,59,1.89433006916948,2.1920310216783,23.7,26.4885779816514,7,-69.1752683765766,339,-57.697,275,-84.1747409393924,382
"12211","Jesse James","DET","TE",26,5,"TE","weighted",27.5872103407756,55,0.481842370070456,9.65924152296605,13.7,37.1320639534884,7,-66.8309804102303,327,-67.697,311,-73.5312549675554,350
"12212","Tyler Kroft","BUF","TE",28,5,"TE","weighted",23.074285546416,62,0.463852515197456,8.84096914573372,14.1,33.821976744186,8,-71.3439052045899,344,-67.297,309,-76.8413421768577,361
"12213","Blake Bell","DAL","TE",29,5,"TE","weighted",12.1217274052478,91,0.227138430292378,8.37498828117373,3.2,19.9121899736148,9,-82.296463345758,396,-78.197,375,-90.751128947429,404
"12257","Chris Conley","JAC","WR",28,5,"WR","weighted",78.141104405329,75,0.877806812998799,16.3321420129186,60.357,101.082752293578,11,-48.4842059075283,271,-46.2096666666667,247,-40.8260219434543,263
"12261","Ty Montgomery","NOS","RB",27,5,"RB","weighted",14.0025131195335,115,0.565903581530549,5.46766566422303,9.7,20.1815186046512,15,-100.813347881334,475,-88.9466666666667,446,-117.087603941977,485
"12263","Darren Waller","LVR","TE",28,5,"TE","weighted",123.312958132037,5,16.2578267992207,15.2856197661775,108,144.233559830961,2,28.8947673810307,53,26.603,60,33.5702409099171,54
"12309","MyCole Pruitt","TEN","TE",28,5,"TE","weighted",19.918996978852,69,0.204897596342391,5.21022357498272,15.8,24.7114152173913,8,-74.4991937721539,355,-65.597,300,-85.9519037036524,390
"12317","C.J. Uzomah","CIN","TE",27,5,"TE","weighted",59.3273666274971,32,1.38047151156004,12.2848573209236,48.999,74.7633333333333,6,-35.0908241235088,234,-32.398,213,-35.8999855877104,245
"12325","Michael Burton","NOS","RB",28,5,"RB","weighted",0.914674884437596,149,0.117971494607088,1.16106933470831,0.1,1.5765251552795,25,-113.90118611643,538,-98.5466666666667,522,-135.692597391349,561
"12328","Nick Boyle","BAL","TE",27,5,"TE","weighted",47.604687426557,38,3.54335459901318,6.89391619408076,37.1,53.1407387862797,7,-46.8135033244489,266,-44.297,241,-57.5225801347641,310
"12330","James O'Shaughnessy","JAC","TE",28,5,"TE","weighted",28.6685623582766,51,0.314866118558669,9.39410898251953,19.514,38.3770058139535,7,-65.7496283927292,321,-61.883,289,-72.2863131070903,346
"12338","Geremy Davis","FA","WR",28,5,"WR","weighted",20.367,135,0.255600462849159,NA,20.367,20.367,17,-106.258310312857,495,-86.1996666666667,425,-121.541774237032,496
"12378","Geoff Swaim","TEN","TE",27,5,"TE","weighted",6.95481772406848,106,0.3097693856999,6.41828349199787,2.4,12.6346033430233,10,-87.4633730269374,428,-78.997,382,-98.0287155780205,428
"12386","Malcolm Brown","LAR","RB",27,5,"RB","weighted",65.3565733225052,62,1.12376804304134,19.9445999042529,38.729,88.5423546511628,10,-49.4592876783622,275,-59.9176666666667,284,-48.7267678954654,285
"12394","DeAndre Carter","HOU","WR",27,5,"WR","weighted",9.18870570107858,168,1.03870570107858,1.54502831689261,8.7,10.6648035714286,19,-117.436604611779,562,-97.8666666666667,508,-131.243970665604,534
"12417","Josh Lambo","JAC","K",30,5,"K","weighted",104.765712180194,16,1.2400958811907,22.7161352508367,76.1949572069059,122.449149068323,1,-5.88857121034221,129,-15.5602947925162,156,-8.94532386087474,144
"12429","DeAndrew White","BAL","WR",29,5,"WR","weighted",2.194,203,0.227,NA,2.194,2.194,20,-124.431310312857,597,-104.372666666667,570,-139.714774237032,601
"12437","Jason Myers","SEA","K",29,6,"K","weighted",105.046277633533,15,0.708918574886411,22.3723680467079,78.4462100456621,126.846944485227,1,-5.60800575700321,127,-13.30904195376,148,-4.54752844397115,127
"12443","Jake Kumerow","FA","WR",28,3,"WR","weighted",22.4,132,0.508740701048602,NA,22.4,22.4,17,-104.225310312857,490,-84.1666666666667,417,-119.508774237032,492
"12444","Rod Smith","FA","RB",28,5,"RB","weighted",12.2316302003082,120,0.712616332819724,12.781662176728,3.124,19.4062195718654,15,-102.584230800559,481,-95.5226666666667,481,-117.862902974763,487
"12447","Raheem Mostert","SFO","RB",28,5,"RB","weighted",173.971656088856,20,0.691264082380371,34.4276456640311,138.1,215.013426507322,4,59.1557950879889,27,39.4533333333333,42,77.744303960694,24
"12464","Damiere Byrd","NEP","WR",27,5,"WR","weighted",42.617266536965,113,0.428070859256017,8.0189471124985,37.6,49.9897706422018,15,-84.0080437758923,406,-68.9666666666667,317,-91.9190035948304,408
"12471","Seth Roberts","CAR","WR",29,6,"WR","weighted",11.390920233463,159,0.340863222677211,3.57357017313394,8.6,14.7145388379205,18,-115.234390079394,550,-97.9666666666667,510,-127.194235399112,519
"12479","Khari Lee","FA","TE",28,5,"TE","weighted",4.56388597842835,113,0.172158705701078,0.621546860662975,4.121,4.91277201834862,11,-89.8543047725775,438,-77.276,369,-105.750546902695,453
"12505","Adam Humphries","TEN","WR",27,5,"WR","weighted",62.8911034663773,89,1.61826328927482,13.0752667056066,51.456,80.8941459074733,14,-63.73420684648,315,-55.1106666666667,270,-61.0146283295589,317
"12585","Daniel Brown","NYJ","TE",28,5,"TE","weighted",5.9,110,0.424607087827426,NA,5.9,5.9,11,-88.5181907510058,434,-75.497,359,-104.763318921044,447
"12586","Darius Jennings","FA","WR",28,5,"WR","weighted",1.4,209,0.1085,NA,1.4,1.4,21,-125.225310312857,603,-105.166666666667,575,-140.508774237032,607
"12610","Carson Wentz","PHI","QB",28,4,"QB","weighted",274.227468084701,12,14.0885293686192,23.9408299391582,248.92,311.283738024519,5,9.39235291241278,86,5.14666666666668,90,14.5490592805539,78
"12611","Jared Goff","LAR","QB",26,4,"QB","weighted",255.926785596761,16,4.57593198218521,14.9080288871147,239.46,277.566357272727,6,-8.90832957552797,142,-4.31333333333333,118,-19.1683214712375,184
"12616","Jacoby Brissett","IND","QB",28,4,"QB","weighted",37.299641014723,38,6.70904634745156,31.97202391497,3.84,63.2008868501529,10,-227.535474157566,625,-239.933333333333,622,-233.533791893812,628
"12620","Dak Prescott","DAL","QB",27,4,"QB","weighted",320.107089072542,3,5.78581420131638,15.3737736482364,304.577175889289,343.646172727273,3,55.2719739002537,31,60.8038425559552,26,46.9114939833079,39
"12623","Jeff Driskel","DEN","QB",27,4,"QB","weighted",9.78641904761905,58,0.596830006523158,1.47649794216717,8.26,10.9894459102902,11,-255.04869612467,645,-235.513333333333,612,-285.745232833675,653
"12625","Ezekiel Elliott","DAL","RB",25,4,"RB","weighted",267.197723494257,3,14.8031934266985,39.3858702422144,244.9,330.01186352402,1,152.38186249339,3,146.253333333333,2,192.742740977391,3
"12626","Derrick Henry","TEN","RB",26,4,"RB","weighted",256.038648645256,4,16.174313731103,17.8106770151063,240.5,283.108380026454,2,141.222787644389,4,141.853333333333,4,145.839257479826,6
"12629","Devontae Booker","LVR","RB",28,4,"RB","weighted",22.2982025699169,106,0.721139686481273,13.5792545307201,10.571,36.9938636363636,14,-92.5176584309506,455,-88.0756666666667,438,-100.275258910265,435
"12630","Kenyan Drake","ARI","RB",26,4,"RB","weighted",208.267737503612,13,10.9611028888418,25.1930033440569,178.7,243.486598908948,3,93.4518765027445,14,80.0533333333333,17,106.21747636232,16
"12632","Kenneth Dixon","FA","RB",26,4,"RB","weighted",22.2541257668712,107,1.65412576687116,26.6968165236981,3.145,37.1702636363636,14,-92.5617352339963,456,-95.5016666666667,480,-100.098858910265,434
"12634","Jordan Howard","MIA","RB",26,4,"RB","weighted",129.691538654968,30,5.83919406607802,21.943044723139,103.3,159.369818181818,6,14.8756776541009,74,4.65333333333332,92,22.10069563519,66
"12635","Jonathan Williams","FA","RB",26,4,"RB","weighted",1.615,146,0.385508474576271,NA,1.615,1.615,24,-113.200861000867,535,-97.0316666666667,496,-135.654122546628,560
"12636","Wendell Smallwood","FA","RB",26,4,"RB","weighted",11.1,124,0.829000000000001,NA,11.1,11.1,15,-103.715861000867,486,-87.5466666666667,433,-126.169122546628,515
"12637","Peyton Barber","WAS","RB",26,4,"RB","weighted",50.993598119859,77,0.677678456909966,18.7120030835939,27.932,70.1932415902141,11,-63.8222628810084,316,-70.7146666666667,325,-67.0758809564141,328
"12639","Tyler Ervin","GBP","RB",27,4,"RB","weighted",6.91648054474708,131,0.761452809770193,5.51439290125995,3.461,11.5387335092348,16,-107.89938045612,505,-95.1856666666667,477,-125.730389037393,513
"12640","Josh Ferguson","FA","RB",27,4,"RB","weighted",1.35,147,0.338171032357473,NA,1.35,1.35,25,-113.465861000867,536,-97.2966666666667,501,-135.919122546628,565
"12645","Laquon Treadwell","FA","WR",25,4,"WR","weighted",9.74,166,0.395647149460711,NA,9.74,9.74,19,-116.885310312857,558,-96.8266666666667,494,-132.168774237032,538
"12646","Corey Coleman","FA","WR",26,4,"WR","weighted",18.98,140,0.384796692607004,NA,18.98,18.98,17,-107.645310312857,503,-87.5866666666667,435,-122.928774237032,505
